"Location","Story","Nerve","Cost","Reward","Profit","Profit/Nerve","Place","Ignite","Stoke","Dampen"
"Ad Agency","From the Ashes",30,2164,140000,137836,4594,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Ad Agency","Set 'Em Straight",20,28050,330000,301950,15097,"Hydrogen Tank","Unknown","Hydrogen Tank (11s)",""
"Adult Store","Oh God, Yes",15,541,26000,25459,1697,"Gasoline","Unknown","",""
"Adult Store","Claim to Flame",15,541,24000,23459,1563,"Gasoline","Unknown","",""
"Aircraft Hangar","Plane and Simple",35,154302,180000,25698,734,"Potassium Nitrate; Potassium Nitrate; Methane Tank","Unknown","Methane Tank (54s); Methane Tank (33s)",""
"Apartment","Hot Dog",15,541,34000,33459,2230,"Gasoline","Unknown","",""
"Apartment","A Dirty Job",20,541,43000,42459,2122,"Gasoline","Unknown","Unknown (16s)",""
"Apartment","Burning Liability",25,42075,160000,117925,4717,"Hydrogen Tank; Hydrogen Tank","Unknown","Hydrogen Tank (13s)",""
"Apartment","Raze the Roof",15,14025,55000,40975,2731,"Hydrogen Tank","Unknown","",""
"Apartment","Loud and Clear",15,541,210000,209459,13963,"Gasoline","Unknown","",""
"Apartment","Wet Behind the Ears",15,541,250000,249459,16630,"Gasoline","Unknown","",""
"Arcade","Insert Coin to Continue",25,42075,120000,77925,3117,"Hydrogen Tank; Hydrogen Tank","Unknown","Hydrogen Tank (17s)",""
"Arms Warehouse","Totally Armless",25,34467,86000,51533,2061,"Kerosene; Kerosene","Unknown","Hydrogen Tank (14s)",""
"Arms Warehouse","Smoke Without Fire",20,1082,220000,218918,10945,"Gasoline; Gasoline","Unknown","",""
"Art Gallery","Charcoal Sketch",20,541,80000,79459,3972,"Gasoline","Unknown","Unknown (3s)",""
"Art Gallery","The Devil's in the Details",30,20656,160000,139344,4644,"Diesel; Diesel; Diesel; Diesel","Unknown","",""
"Bank","Smoke Screen",25,1623,600000,598377,23935,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Bank","Hot on the Trail",20,1082,460000,458918,22945,"Gasoline; Gasoline","Unknown","",""
"Barbershop","It Cuts Both Ways",35,2164,61000,58836,1681,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (12s)",""
"Barn","The Bolted Horse",35,120420,100000,-20420,-584,"Oxygen Tank; Oxygen Tank; Oxygen Tank; Oxygen Tank","Unknown","Oxygen Tank (58s)",""
