"Location","Story","Nerve","Cost","Reward","Profit","Profit/Nerve","Place","Ignite","Dampen","Stoke"
"Ad Agency","Set 'Em Straight",15,14292,60000,45708,3047,"Kerosene","Unknown","",""
"Adult Store","Claim to Flame",15,554,10200,9646,643,"Gasoline","Unknown","",""
"Apartment","Hot Dog",15,554,11000,10446,696,"Gasoline","Unknown","",""
"Apartment","A Dirty Job",15,554,12000,11446,763,"Gasoline","Unknown","",""
"Apartment","Burning Liability",15,14292,46000,31708,2113,"Kerosene","Unknown","",""
"Apartment","Raze the Roof",15,14292,41000,26708,1780,"Kerosene","Unknown","",""
"Arcade","Insert Coin to Continue",15,14292,48000,33708,2247,"Kerosene","Unknown","",""
"Bank","Hot on the Trail",15,14292,230000,215708,14380,"Kerosene","Unknown","",""
"Bazaar","Anon Starter",15,554,10000,9446,629,"Gasoline","Unknown","",""
"Bazaar","A Mug's Game",15,4970,36000,31030,2068,"Diesel","Unknown","",""
"Beach Hut","A Rash Decision",15,554,11000,10446,696,"Gasoline","Unknown","",""
"Bordello","Milk Milk, Lemonade",20,554,140000,139446,6972,"Gasoline","Unknown (Fail); Unknown (1s)","",""
"Bordello","Lover's Quarrel",20,1108,20000,18892,944,"Gasoline; Gasoline","Unknown","",""
"Bowling Alley","Strike While it's Hot",15,14292,63000,48708,3247,"Kerosene","Unknown","",""
"Bungalow","For Closure",15,554,9200,8646,576,"Gasoline","Unknown","",""
"Bungalow","Open House",20,554,50000,49446,2472,"Gasoline","Unknown","Blanket (4s)",""
"Bungalow","Burning Memory",15,554,9600,9046,603,"Gasoline","Unknown","",""
"Cafe","Long Pig",20,5524,150000,144476,7223,"Gasoline","Unknown","","Diesel (3s)"
"Cafe","Cold Brew Reality",15,14292,43000,28708,1913,"Kerosene","Unknown","",""
"Candle Shop","Rest in Peace",15,554,8000,7446,496,"Gasoline","Unknown","",""
"Car Showroom","Bright Spark",15,14292,64000,49708,3313,"Kerosene","Unknown","",""
"Casino","Burn the Deck",15,554,14000,13446,896,"Gasoline","Unknown","",""
"Chemical Plant","Gay Frogs",15,554,6300,5746,383,"Gasoline","Unknown","",""
"Church","Carrying a Torch",15,554,10000,9446,629,"Gasoline","Unknown","",""
"Church","Visions of the Savory",30,1862,39000,37138,1237,"Gasoline; Gasoline","Unknown","Blanket (47s)",""
"Church","Holy Smokes",15,14292,23000,8708,580,"Kerosene","Unknown","",""
"Cinema","Burn After Screening",15,554,22000,21446,1429,"Gasoline","Unknown","",""
"Clothing Store","Hot Trend",15,14292,57000,42708,2847,"Kerosene","Unknown","",""
"Clothing Store","All Mouth and Trousers",40,8164,31000,22836,570,"Gasoline","Unknown (Fail); Unknown (5s)","Blanket (12s); Blanket (1s)","Diesel (33s)"
"College","Igniting Curiosity",20,12117,30000,17883,894,"Gasoline","Unknown","",""
"Community Center","Third-Degree Burn",15,554,12000,11446,763,"Gasoline","Unknown","",""
"Cottage","Dead Giveaway",15,14292,32000,17708,1180,"Kerosene","Unknown","",""
"Cottage","Local Concerns",15,554,10500,9946,663,"Gasoline","Unknown","",""
"Cottage","A Hot Lead",15,554,9700,9146,609,"Gasoline","Unknown","",""
"Cottage","Fan the Flames",15,14292,32000,17708,1180,"Kerosene","Unknown","",""
"Data Center","Burned Cookies",25,14910,73000,58090,2323,"Diesel","Unknown","","Diesel (2s); Diesel (1s)"
"Data Center","Cache and Burn",15,14292,24000,9708,647,"Kerosene","Unknown","",""
"Detective Agency","Hot Pursuit",15,554,14000,13446,896,"Gasoline","Unknown","",""
"Detective Agency","Turn up the Heat",20,15748,22000,6252,312,"Gasoline","Unknown","",""
"Diner","Hot Dinners",20,9940,58000,48060,2403,"Diesel","Unknown","","Diesel (1s)"
"Diner","Dine and Dash",15,14292,40000,25708,1713,"Kerosene","Unknown","",""
