"Location","Story","Nerve","Cost","Reward","Profit","Profit/Nerve","Place","Ignite","Stoke","Dampen"
"Ad Agency","From the Ashes",30,2116,150000,147884,4929,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Ad Agency","Set 'Em Straight",20,28064,350000,321936,16096,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Adult Store","Oh God, Yes",20,1058,20000,18942,947,"Gasoline; Gasoline","Unknown","",""
"Adult Store","Claim to Flame",20,1058,22000,20942,1047,"Gasoline; Gasoline","Unknown","",""
"Aircraft Hangar","Plane and Simple",35,70085,180000,109915,3140,"Methane Tank; Methane Tank; Methane Tank; Methane Tank","Unknown","Methane Tank (53s)",""
"Apartment","Hot Dog",20,20050,40000,19950,997,"Kerosene; Kerosene","Unknown","",""
"Apartment","A Dirty Job",15,10025,33000,22975,1531,"Kerosene","Unknown","",""
"Apartment","Burning Liability",25,42096,170000,127904,5116,"Hydrogen Tank","Unknown","Hydrogen Tank (4s); Hydrogen Tank (1s)",""
"Apartment","Raze the Roof",25,42096,160000,117904,4716,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Apartment","Loud and Clear",20,1058,210000,208942,10447,"Gasoline; Gasoline","Unknown","",""
"Apartment","Wet Behind the Ears",15,529,230000,229471,15298,"Gasoline","Unknown","",""
"Apartment","Low Rent",20,28064,90000,61936,3096,"Hydrogen Tank","Unknown","Hydrogen Tank (2s)",""
"Arcade","Insert Coin to Continue",25,42096,160000,117904,4716,"Hydrogen Tank","Unknown","Hydrogen Tank (3s); Hydrogen Tank (2s)",""
"Arms Warehouse","Totally Armless",25,42096,110000,67904,2716,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Arms Warehouse","Smoke Without Fire",20,1058,220000,218942,10947,"Gasoline; Gasoline","Unknown","",""
"Art Gallery","Charcoal Sketch",25,1587,40000,38413,1536,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Art Gallery","The Devil's in the Details",20,68323,140000,71677,3583,"Diesel; Magnesium Shavings","Unknown","",""
"Bank","Smoke Screen",25,1587,590000,588413,23536,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Bank","Hot on the Trail",20,1058,450000,448942,22447,"Gasoline; Gasoline","Unknown","",""
"Barbershop","It Cuts Both Ways",15,10025,28000,17975,1198,"Kerosene","Unknown","",""
"Barn","The Bolted Horse",30,96080,110000,13920,464,"Oxygen Tank; Oxygen Tank","Unknown","Oxygen Tank (47s); Oxygen Tank (25s)",""
"Bazaar","Bang For Your Buck",25,8033,53000,44967,1798,"Gasoline; Gasoline","Unknown","",""
"Bazaar","Anon Starter",15,529,24000,23471,1564,"Gasoline","Unknown","",""
"Bazaar","Risky Business",15,14032,35000,20968,1397,"Hydrogen Tank","Unknown","",""
"Bazaar","A Mug's Game",20,10064,36000,25936,1296,"Diesel; Diesel","Unknown","",""
"Beach Hut","Beach Bum",20,1058,20000,18942,947,"Gasoline; Gasoline","Unknown","",""
"Beach Hut","A Rash Decision",15,529,13000,12471,831,"Gasoline","Unknown","",""
"Beach Hut","Naked Aggression",20,10025,33000,22975,1148,"Kerosene","Unknown","Unknown (101s)",""
"Bookies","Hot out of the Gate",25,15189,91000,75811,3032,"Gasoline; Gasoline","Unknown","",""
"Bookies","Improving the Odds",25,73355,310000,236645,9465,"Diesel; Diesel; Magnesium Shavings","Unknown","",""
"Bordello","Hell Fire",45,26136,210000,183864,4085,"Gasoline; Gasoline; Oxygen Tank","Unknown","Unknown (8s); Gasoline (10s); Unknown (58s); Gasoline (16s)",""
"Bordello","Milk Milk, Lemonade",15,529,180000,179471,11964,"Gasoline","Unknown","",""
"Bordello","Lover's Quarrel",20,1058,27000,25942,1297,"Gasoline","Unknown","Gasoline (8s)",""
"Bordello","Camera Tricks",35,2116,100000,97884,2796,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (Crit) (71s)",""
"Bowling Alley","Strike While it's Hot",25,42096,300000,257904,10316,"Hydrogen Tank","Unknown","Hydrogen Tank (2s); Hydrogen Tank (1s)",""
"Bungalow","For Closure",30,2116,44000,41884,1396,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Bungalow","Open House",15,529,64000,63471,4231,"Gasoline","Unknown","",""
"Bungalow","That Place Is History",25,1587,120000,118413,4736,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Bungalow","Burning Memory",15,10025,16000,5975,398,"Kerosene","Unknown","",""
"Bus Terminal","End of the Line",35,55433,120000,64567,1844,"Gasoline; Gasoline; Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Bus Terminal","Beggars Can't be Choosers",45,210399,580000,369601,8213,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline; Thermite; Thermite","Unknown","",""
"Cafe","Long Pig",15,529,150000,149471,9964,"Gasoline","Unknown","",""
"Cafe","Cold Brew Reality",25,42096,160000,117904,4716,"Hydrogen Tank","Unknown","Hydrogen Tank (7s); Hydrogen Tank (2s)",""
"Candle Shop","A Treat for the Tricked",30,71300,110000,38700,1290,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Candle Shop","Rest in Peace",15,529,24000,23471,1564,"Gasoline","Unknown","",""
"Car Showroom","Emotional Wreck",35,2116,130000,127884,3653,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (69s)",""
"Car Showroom","Bright Spark",25,42096,310000,267904,10716,"Hydrogen Tank","Unknown","Hydrogen Tank (5s); Hydrogen Tank (1s)",""
"Car Wash","Out in the Wash",20,1058,250000,248942,12447,"Gasoline; Gasoline","Unknown","",""
"Casino","House Edge",25,1587,170000,168413,6736,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Casino","Burn the Deck",25,1587,78000,76413,3056,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Casino","House of Cards",25,42096,620000,577904,23116,"Hydrogen Tank","Unknown","Hydrogen Tank (3s); Hydrogen Tank (1s)",""
"Castle","Where There's a Will",35,134481,140000,5519,157,"Gasoline; Kerosene; Kerosene; Kerosene; Thermite","Unknown","",""
"Chemical Plant","Gay Frogs",20,1058,23000,21942,1097,"Gasoline; Gasoline","Unknown","",""
"Chiropractors Office","Back, Sack, and Crack",20,28064,320000,291936,14596,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Church","Carrying a Torch",20,20050,66000,45950,2297,"Kerosene; Kerosene","Unknown","",""
"Church","Visions of the Savory",25,20833,120000,99167,3966,"Kerosene; Kerosene","Unknown","",""
"Church","Holy Smokes",25,42096,140000,97904,3916,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Cinema","Final Cut",30,2116,180000,177884,5929,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Cinema","Burn After Screening",20,1058,110000,108942,5447,"Gasoline; Gasoline","Unknown","",""
"Cleaning Agency","Clean Sweep",30,1587,150000,148413,4947,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (88s)",""
"Clock Tower","Cooking Time",30,78387,350000,271613,9053,"Diesel; Diesel; Magnesium Shavings","Unknown","Diesel (64s)",""
"Clothing Store","Hot Trend",15,14032,68000,53968,3597,"Hydrogen Tank","Unknown","",""
"Clothing Store","All Mouth and Trousers",20,3189,55000,51811,2590,"Gasoline","Unknown","",""
"College","The Midnight Oil",20,20050,44000,23950,1197,"Kerosene; Kerosene","Unknown","",""
"College","The Fat is in the Fire",40,2645,360000,357355,8933,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (91s)",""
"College","Igniting Curiosity",30,40487,260000,219513,7317,"Kerosene; Kerosene; Kerosene","Unknown","",""
"Community Center","Third-Degree Burn",15,529,19000,18471,1231,"Gasoline","Unknown","",""
"Cottage","Dead Giveaway",20,28064,72000,43936,2196,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Cottage","Local Concerns",30,54375,39000,-15375,-513,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Cottage","A Hot Lead",20,1058,21000,19942,997,"Gasoline; Gasoline","Unknown","",""
"Cottage","Fan the Flames",25,38089,98000,59911,2396,"Kerosene; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Cyber Cafe","Doxing Clever",40,106522,190000,83478,2086,"Gasoline; Gasoline; Gasoline; Thermite; Gasoline; Gasoline","Unknown","",""
"Cyber Cafe","Stink to High Heaven",20,28064,91000,62936,3146,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Cruise Line","Rock the Boat",15,5032,350000,344968,22997,"Diesel","Unknown","",""
"Data Center","Burned Cookies",25,73355,62000,-11355,-455,"Diesel; Diesel; Magnesium Shavings","Unknown","",""
"Data Center","Cache and Burn",30,40100,560000,519900,17330,"Kerosene; Kerosene; Kerosene; Kerosene","Unknown","",""
"Dental Surgery","A Bitter Taste",30,1058,40000,38942,1298,"Gasoline; Gasoline","Unknown","Unknown (10s); Unknown (34s)",""
"Detective Agency","Hot Pursuit",20,1058,56000,54942,2747,"Gasoline; Gasoline","Unknown","",""
"Detective Agency","A Black Mark",15,529,220000,219471,14631,"Gasoline","Unknown","",""
"Detective Agency","Turn up the Heat",30,69424,73000,3576,119,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Diner","Hot Dinners",20,10064,66000,55936,2796,"Diesel; Diesel","Unknown","",""
"Diner","Dine and Dash",25,42096,120000,77904,3116,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Distillery","Get Wrecked",20,1058,95000,93942,4697,"Gasoline; Gasoline","Unknown","",""
"Distillery","Whiskey Business",20,28064,88000,59936,2996,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Drugs Lab","The Grass Ain't Greener",40,2116,60000,57884,1447,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","Unknown (4s); Unknown (3s)",""
"Drugs Lab","Cooking the Books",25,54375,39000,-15375,-615,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Electrical Substation","Wired for War",50,4232,480000,475768,9515,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Factory","Apart of the Problem",30,529,300000,299471,9982,"Gasoline","Unknown","Unknown (6s); Unknown (3s); Unknown (62s)",""
"Factory","The Fried Piper",15,14032,320000,305968,20397,"Hydrogen Tank","Unknown","",""
"Farmhouse","Ashes to Ancestors",35,49627,72000,22373,639,"Gasoline; Gasoline; Oxygen Tank","Unknown","Oxygen Tank (48s); Gasoline (44s)",""
"Farmhouse","Shaky Investment",15,14032,110000,95968,6397,"Hydrogen Tank","Unknown","",""
"Fertilizer Plant","Boom Industry",30,54904,120000,65096,2169,"Gasoline; Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Fire Station","Stop, Drop, and Lol",60,348542,320000,-28542,-476,"Gasoline; Gasoline; Thermite; Potassium Nitrate; Hydrogen Tank","Unknown","Hydrogen Tank (18s); Potassium Nitrate (40s); Diesel (4s); Thermite (11s); Unknown (16s)",""
"Firework Store","Sky High Prices",30,989919,56000,-933919,-31131,"Diesel; Potassium Nitrate; Oxygen Tank","Unknown","",""
"Fishing Hut","Smoke on the Water",20,1058,9300,8242,412,"Gasoline; Gasoline","Unknown","",""
"Flower Shop","A Fungus Among Us",30,1587,39000,37413,1247,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (1s)",""
"Flower Shop","Planted",20,3989,130000,126011,6300,"Gasoline","Unknown","",""
"Forgery Workshop","Fire Sale",15,14032,11000,-3032,-203,"Hydrogen Tank","Unknown","",""
"Forgery Workshop","Shielded from the Truth",15,10025,19000,8975,598,"Kerosene","Unknown","",""
"Foundry","Hot Under the Collar",75,211179,180000,-31179,-416,"Gasoline; Gasoline; Gasoline; Gasoline; Potassium Nitrate; Potassium Nitrate","Unknown","Diesel (68s); Magnesium Shavings (3s); Diesel (68s); Diesel (22s); Kerosene (14s); Unknown (7s); Methane Tank (9s)",""
"Funeral Parlor","Specter of Destruction",20,5419,76000,70581,3529,"Gasoline","Unknown","",""
"Funeral Parlor","Body of Evidence",35,64439,90000,25561,730,"Gasoline; Gasoline; Potassium Nitrate","Unknown","Diesel (100s); Diesel (14s)",""
"Furniture Store","Sofa King Cheap",20,28064,140000,111936,5596,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Game Shop","Don't Hate the Player",20,1058,38000,36942,1847,"Gasoline; Gasoline","Unknown","",""
"Game Shop","Second Hand Smoke",20,28064,73000,44936,2246,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Gas Station","Blown to High Heaven",25,24020,94000,69980,2799,"Oxygen Tank","Unknown","","Blanket (6s); Blanket (24s)"
"Grocery Store","One Rotten Apple",20,1058,180000,178942,8947,"Gasoline; Gasoline","Unknown","",""
"Grocery Store","Hot Profit",15,10025,46000,35975,2398,"Kerosene","Unknown","",""
"Grocery Store","Unspilled Beans",25,42096,220000,177904,7116,"Hydrogen Tank","Unknown","Hydrogen Tank (3s); Hydrogen Tank (1s)",""
"Grocery Store","Short Shelf Life",20,1058,440000,438942,21947,"Gasoline; Gasoline","Unknown","",""
"Gym","Gym'll Fix It",25,54375,44000,-10375,-415,"Gasoline; Gasoline; Potassium Nitrate","Unknown","",""
"Gym","Burning Calories",15,10025,37000,26975,1798,"Kerosene","Unknown","",""
"Gym","Muscling In",25,1586,69000,67414,2696,"Gasoline; Gasoline","Unknown","",""
"Hair Salon","Hair Today...",20,28064,77000,48936,2446,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Hardware Store","Stroke of Fortune",35,2645,130000,127355,3638,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Homeless Camp","Bummed Out",30,91376,170000,78624,2620,"Potassium Nitrate; Kerosene; Methane Tank","Unknown","Methane Tank (65s)",""
"Hospital","Waist Not, Want Not",30,2116,240000,237884,7929,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Hospital","Not a Leg to Stand on",35,2116,180000,177884,5082,"Gasoline; Gasoline; Gasoline","Unknown","Unknown (12s); Gasoline (3s)",""
"Hospital","Make a Killing",25,20579,480000,459421,18376,"Gasoline; Kerosene; Kerosene","Unknown","",""
"Hospital","Mental Block",35,105993,590000,484007,13828,"Gasoline; Gasoline; Gasoline; Gasoline; Thermite","Unknown","",""
"Hospital","Searing Irony",30,2116,280000,277884,9262,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Hotel","Spirit Level",25,1587,320000,318413,12736,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Hotel","Checking Out",25,42096,300000,257904,10316,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Hotel","Landmark Decision",35,2645,310000,307355,8781,"Gasoline; Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Hunting Lodge","Hide and Seek",30,2116,30000,27884,929,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Hunting Lodge","On Fire at the Box Office",15,14032,10000,-4032,-269,"Hydrogen Tank","Unknown","",""
"Hunting Lodge","Bagged and Tagged",15,10025,22000,11975,798,"Kerosene","Unknown","",""
"Hunting Lodge","Pest Control",20,28064,35000,6936,346,"Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Jewelry Store","Ring of Fire",20,28064,120000,91936,4596,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Laboratory","Playing With Fire",15,529,240000,239471,15964,"Gasoline","Unknown","",""
