"Location","Story","Nerve","Cost","Reward","Profit","Profit/Nerve","Place","Ignite","Stoke","Dampen"
"Ad Agency","From the Ashes",30,2212,150000,147788,4926,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Ad Agency","Set 'Em Straight",20,28176,350000,321824,16091,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Adult Store","Oh God, Yes",20,1106,20000,18894,944,"Gasoline; Gasoline","Unknown","",""
"Adult Store","Claim to Flame",20,1106,22000,20894,1044,"Gasoline; Gasoline","Unknown","",""
"Aircraft Hangar","Plane and Simple",35,70375,180000,109625,3132,"Methane Tank; Methane Tank; Methane Tank; Methane Tank","Unknown","Methane Tank (53s)",""
"Apartment","Hot Dog",20,20314,40000,19686,984,"Kerosene; Kerosene","Unknown","",""
"Apartment","A Dirty Job",15,10157,33000,22843,1522,"Kerosene","Unknown","",""
"Apartment","Burning Liability",25,42264,170000,127736,5109,"Hydrogen Tank","Unknown","Hydrogen Tank (4s); Hydrogen Tank (1s)",""
"Apartment","Raze the Roof",25,42264,160000,117736,4709,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Apartment","Loud and Clear",20,1106,210000,208894,10444,"Gasoline; Gasoline","Unknown","",""
"Apartment","Wet Behind the Ears",15,553,230000,229447,15296,"Gasoline","Unknown","",""
"Apartment","Low Rent",20,28176,90000,61824,3091,"Hydrogen Tank","Unknown","Hydrogen Tank (2s)",""
"Arcade","Insert Coin to Continue",25,42264,160000,117736,4709,"Hydrogen Tank","Unknown","Hydrogen Tank (3s); Hydrogen Tank (2s)",""
"Arms Warehouse","Totally Armless",25,42264,110000,67736,2709,"Hydrogen Tank; Hydrogen Tank; Hydrogen Tank","Unknown","",""
"Arms Warehouse","Smoke Without Fire",20,1106,220000,218894,10944,"Gasoline; Gasoline","Unknown","",""
"Art Gallery","Charcoal Sketch",25,1659,40000,38341,1533,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Art Gallery","The Devil's in the Details",20,65716,140000,74284,3714,"Diesel; Magnesium Shavings","Unknown","",""
"Bank","Smoke Screen",25,1659,590000,588341,23533,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Bank","Hot on the Trail",20,1106,450000,448894,22444,"Gasoline; Gasoline","Unknown","",""
"Barbershop","It Cuts Both Ways",15,10157,28000,17843,1189,"Kerosene","Unknown","",""
"Barn","The Bolted Horse",30,97108,110000,12892,429,"Oxygen Tank; Oxygen Tank","Unknown","Oxygen Tank (47s); Oxygen Tank (25s)",""
